"date","change","deposits","withdrawals"
2008-01-11,-37,9269,9306
2008-01-14,8261,16488,8227
2008-01-15,-5890,33550,39440
2008-01-16,7538,20193,12655
2008-01-17,-9486,61462,70949
2008-01-18,9051,15702,6651
2008-01-22,15588,22673,7085
2008-01-23,11262,25842,14580
2008-01-24,1311,71698,70387
2008-01-25,-7825,12228,20053
2008-01-28,6389,14465,8077
2008-01-29,-2335,6151,8485
2008-01-30,2934,10047,7113
2008-01-31,25503,131913,106410
2008-02-01,-47995,23076,71071
2008-02-04,6880,14680,7800
2008-02-05,-5453,4082,9535
2008-02-06,3440,11946,8507
2008-02-07,13623,91644,78021
2008-02-08,-19974,7380,27354
2008-02-11,1876,12803,10927
2008-02-12,-3978,4265,8243
2008-02-13,-5904,7804,13708
2008-02-14,42632,111844,69212
2008-02-15,-52332,75017,127348
2008-02-19,14396,24082,9686
2008-02-20,-10444,6362,16805
2008-02-21,22595,97101,74506
2008-02-22,-18990,7270,26260
2008-02-25,5545,15034,9489
2008-02-26,-8249,3977,12226
2008-02-27,3976,19109,15133
2008-02-28,10481,95913,85433
2008-02-29,-11370,59670,71040
2008-03-03,14911,58960,44049
2008-03-04,-4793,4560,9352
2008-03-05,1820,12024,10204
2008-03-06,9518,97603,88084
2008-03-07,-12068,7882,19950
2008-03-10,4827,15489,10662
2008-03-11,-4455,4554,9009
2008-03-12,-4821,10336,15157
2008-03-13,4811,90026,85215
2008-03-14,752,18199,17447
2008-03-17,13399,63993,50594
2008-03-18,-3828,4847,8676
2008-03-19,-3283,11636,14919
2008-03-20,1879,83395,81516
2008-03-21,-8102,8906,17008
2008-03-24,2758,12350,9592
2008-03-25,-5313,3939,9252
2008-03-26,-4907,10358,15265
2008-03-27,10714,95424,84710
2008-03-28,-5086,9493,14579
2008-03-31,26379,65431,39052
2008-04-01,2261,46824,44564
2008-04-02,2995,12139,9144
2008-04-03,-36981,72987,109968
2008-04-04,-6192,10518,16710
2008-04-07,2539,14073,11533
2008-04-08,-2019,8004,10023
2008-04-09,-5064,10215,15280
2008-04-10,1047,85976,84929
2008-04-11,-806,12435,13242
2008-04-14,12073,20320,8246
2008-04-15,5379,75052,69673
2008-04-16,-1030,39706,40735
2008-04-17,-7231,94186,101417
2008-04-18,3688,19766,16078
2008-04-21,-847,28331,29178
2008-04-22,18809,49330,30522
2008-04-23,14933,29540,14607
2008-04-24,2890,80102,77213
2008-04-25,6779,22798,16019
2008-04-28,19917,28571,8654
2008-04-29,18876,29232,10357
2008-04-30,42554,83072,40517
2008-05-01,-38135,73254,111389
2008-05-02,-27682,12361,40042
2008-05-05,123,13368,13245
2008-05-06,-5910,6486,12397
2008-05-07,1164,12695,11531
2008-05-08,-5740,71089,76829
2008-05-09,-15872,6909,22781
2008-05-12,3458,11949,8490
2008-05-13,-5748,2946,8694
2008-05-14,-5664,10309,15973
2008-05-15,-33000,156218,189218
